Date,Data_Value
2005-01-01,156
2005-01-02,139
2005-01-03,133
2005-01-04,39
2005-01-05,33
2005-01-06,0
2005-01-07,6
2005-01-08,17
2005-01-09,28
2005-01-10,44
2005-01-11,44
2005-01-12,139
2005-01-13,161
2005-01-14,150
2005-01-15,-33
2005-01-16,-33
2005-01-17,-50
2005-01-18,-33
2005-01-19,11
2005-01-20,11
2005-01-21,-39
2005-01-22,-72
2005-01-23,-44
2005-01-24,11
2005-01-25,28
2005-01-26,28
2005-01-27,6
2005-01-28,-11
2005-01-30,28
2005-01-31,33
2005-03-01,39
2005-03-02,-11
2005-03-03,17
2005-03-04,44
2005-03-05,78
2005-03-06,194
2005-03-07,139
2005-03-08,139
2005-03-09,-6
2005-03-10,61
2005-03-11,33
2005-03-12,28
2005-03-13,39
2005-03-14,39
2005-03-15,56
2005-03-16,78
2005-03-17,67
2005-03-18,50
2005-03-19,117
2005-03-20,50
2005-03-21,56
2005-03-22,94
2005-03-23,94
2005-03-24,106
2005-03-25,100
2005-03-26,89
2005-03-27,139
2005-03-28,167
2005-03-30,239
2005-03-31,233
2005-04-01,200
2005-04-02,133
2005-04-03,156
2005-04-04,200
2005-04-05,256
2005-04-06,272
2005-04-07,267
2005-04-08,189
2005-04-09,200
2005-04-10,233
2005-04-11,228
2005-04-12,183
2005-04-13,172
2005-04-14,206
2005-04-15,206
2005-04-16,244
2005-04-17,244
2005-04-18,272
2005-04-19,289
2005-04-20,289
2005-04-21,250
2005-04-22,156
2005-04-23,111
2005-04-24,156
2005-04-25,178
2005-04-26,167
2005-04-27,156
2005-04-28,156
2005-04-30,144
2005-05-01,156
2005-05-02,144
2005-05-03,122
2005-05-04,167
2005-05-05,172
2005-05-06,228
2005-05-07,233
2005-05-08,250
2005-05-09,289
2005-05-10,294
2005-05-11,294
2005-05-12,233
2005-05-13,228
2005-05-14,228
2005-05-15,200
2005-05-16,156
2005-05-17,200
2005-05-18,228
2005-05-19,217
2005-05-20,233
2005-05-21,261
2005-05-22,261
2005-05-23,217
2005-05-24,217
2005-05-25,239
2005-05-26,261
2005-05-27,261
2005-05-28,256
2005-05-30,239
2005-05-31,272
2005-06-01,272
2005-06-02,272
2005-06-03,267
2005-06-04,311
2005-06-05,344
2005-06-06,344
2005-06-07,344
2005-06-08,350
2005-06-09,350
2005-06-10,350
2005-06-11,350
2005-06-12,317
2005-06-13,306
