Date,Data_Value
2005-01-01,-56
2005-01-02,-56
2005-01-03,0
2005-01-04,-39
2005-01-05,-94
2005-01-06,-106
2005-01-07,-111
2005-01-08,-100
2005-01-09,-67
2005-01-10,-56
2005-01-11,-22
2005-01-12,-17
2005-01-13,-83
2005-01-14,-128
2005-01-15,-144
2005-01-16,-150
2005-01-17,-189
2005-01-18,-217
2005-01-19,-300
2005-01-20,-156
2005-01-21,-178
2005-01-22,-178
2005-01-23,-250
2005-01-24,-267
2005-01-25,-228
2005-01-26,-206
2005-01-27,-239
2005-01-28,-250
2005-01-29,-222
2005-01-30,-217
2005-01-31,-167
2005-02-01,-211
2005-02-02,-167
2005-02-03,-167
2005-02-04,-156
2005-02-05,-128
2005-02-06,-89
2005-02-07,-56
2005-02-08,-33
2005-02-09,-78
2005-02-10,-111
2005-02-11,-122
2005-02-12,-83
2005-02-13,-56
2005-02-14,-28
2005-02-15,-11
2005-02-16,-83
2005-02-17,-133
2005-02-18,-150
2005-02-19,-139
2005-02-20,-89
2005-02-21,-89
2005-02-22,-78
2005-02-23,-122
2005-02-24,-128
2005-02-25,-128
2005-02-26,-144
2005-02-27,-161
2005-02-28,-100
2005-03-01,-117
2005-03-02,-172
2005-03-03,-211
2005-03-04,-178
2005-03-05,-150
2005-03-06,-111
2005-03-07,-144
2005-03-08,-122
2005-03-09,-144
2005-03-10,-156
2005-03-11,-100
2005-03-12,-122
2005-03-13,-144
2005-03-14,-161
2005-03-15,-106
2005-03-16,-122
2005-03-17,-128
2005-03-18,-100
2005-03-19,-89
2005-03-20,-33
2005-03-21,-22
2005-03-22,-61
2005-03-23,-50
2005-03-24,-50
2005-03-25,-33
2005-03-26,-61
2005-03-27,-44
2005-03-28,-22
2005-03-29,-33
2005-03-30,-28
2005-03-31,-11
2005-04-01,-22
2005-04-02,-67
2005-04-03,-6
2005-04-04,-39
2005-04-05,11
2005-04-06,-11
2005-04-07,-6
2005-04-08,-22
2005-04-09,-17
2005-04-10,6
2005-04-11,17
2005-04-12,17
2005-04-13,0
2005-04-14,-28
2005-04-15,-22
2005-04-16,-17
2005-04-17,6
2005-04-18,-6
2005-04-19,11
2005-04-20,11
2005-04-21,-6
2005-04-22,-6
2005-04-23,-56
2005-04-24,-17
2005-04-25,-17
2005-04-26,-6
2005-04-27,11
2005-04-28,-11
2005-04-29,0
2005-04-30,-6
2005-05-01,-33
2005-05-02,-28
2005-05-03,-44
2005-05-04,-61
2005-05-05,-33
2005-05-06,-11
2005-05-07,-28
2005-05-08,6
2005-05-09,33
2005-05-10,28
2005-05-11,28
2005-05-12,39
2005-05-13,39
2005-05-14,50
2005-05-15,28
2005-05-16,22
2005-05-17,6
2005-05-18,39
2005-05-19,50
2005-05-20,50
2005-05-21,28
2005-05-22,44
2005-05-23,78
2005-05-24,61
2005-05-25,39
2005-05-26,50
2005-05-27,33
2005-05-28,50
2005-05-29,44
2005-05-30,83
2005-05-31,56
2005-06-01,72
2005-06-02,89
2005-06-03,106
2005-06-04,133
2005-06-05,128
2005-06-06,150
2005-06-07,133
2005-06-08,161
2005-06-09,156
2005-06-10,167
2005-06-11,194
2005-06-12,200
2005-06-13,183
2005-06-14,161
2005-06-15,61
2005-06-16,56
2005-06-17,61
2005-06-18,89
2005-06-19,56
2005-06-20,44
2005-06-21,100
2005-06-22,78
2005-06-23,39
2005-06-24,83
2005-06-25,161
2005-06-26,183
2005-06-27,172
2005-06-28,183
2005-06-29,178
2005-06-30,172
2005-07-01,100
2005-07-02,78
2005-07-03,94
2005-07-04,83
2005-07-05,50
2005-07-06,128
2005-07-07,106
2005-07-08,50
2005-07-09,106
2005-07-10,111
2005-07-11,133
2005-07-12,156
2005-07-13,178
2005-07-14,133
2005-07-15,167
2005-07-16,200
2005-07-17,200
2005-07-18,194
2005-07-19,139
2005-07-20,117
2005-07-21,139
2005-07-22,161
2005-07-23,133
2005-07-24,144
2005-07-25,189
2005-07-26,139
2005-07-27,111
2005-07-28,100
2005-07-29,94
2005-07-30,111
2005-07-31,78
2005-08-01,133
2005-08-02,156
2005-08-03,161
2005-08-04,72
2005-08-05,144
2005-08-06,133
2005-08-07,122
2005-08-08,122
2005-08-09,150
2005-08-10,167
2005-08-11,167
2005-08-12,172
2005-08-13,144
2005-08-14,150
2005-08-15,139
2005-08-16,78
2005-08-17,122
2005-08-18,128
2005-08-19,144
2005-08-20,139
2005-08-21,111
2005-08-22,83
2005-08-23,100
2005-08-24,72
2005-08-25,83
2005-08-26,100
2005-08-27,50
2005-08-28,67
2005-08-29,111
2005-08-30,122
2005-08-31,133
2005-09-01,111
2005-09-02,89
2005-09-03,72
2005-09-04,83
2005-09-05,72
2005-09-06,89
2005-09-07,72
2005-09-08,56
2005-09-09,94
2005-09-10,78
2005-09-11,72
2005-09-12,94
2005-09-13,39
2005-09-14,89
2005-09-15,111
2005-09-16,83
2005-09-17,100
2005-09-18,83
2005-09-19,94
2005-09-20,94
2005-09-21,78
2005-09-22,94
2005-09-23,50
2005-09-24,111
2005-09-25,94
2005-09-26,67
2005-09-27,39
2005-09-28,44
2005-09-29,11
2005-09-30,-6
2005-10-01,11
2005-10-02,39
2005-10-03,50
2005-10-04,100
2005-10-05,100
2005-10-06,61
2005-10-07,61
2005-10-08,33
2005-10-09,22
2005-10-10,22
2005-10-11,17
2005-10-12,67
2005-10-13,83
2005-10-14,56
2005-10-15,56
2005-10-16,-6
2005-10-17,-33
2005-10-18,-11
2005-10-19,-6
2005-10-20,-22
2005-10-21,0
2005-10-22,-33
2005-10-23,-33
2005-10-24,0
2005-10-25,-11
2005-10-26,-22
2005-10-27,-61
2005-10-28,-50
2005-10-29,-72
2005-10-30,-61
2005-10-31,-39
